
CO2 (ppm),Temperature (*C),Humidity (%),,Date and Time
1749,31.57,1749, ,2019-06-18T03:17:46.034Z
0,31.61,0, ,2019-06-18T03:17:57.033Z
0,31.72,0, ,2019-06-18T03:18:08.043Z
0,31.82,0, ,2019-06-18T03:18:19.077Z
160,31.85,160, ,2019-06-18T03:18:30.067Z
686,31.90,686, ,2019-06-18T03:18:41.244Z
866,31.83,866, ,2019-06-18T03:18:52.071Z
825,31.85,825, ,2019-06-18T03:19:03.214Z
855,31.85,855, ,2019-06-18T03:19:14.088Z
831,31.82,831, ,2019-06-18T03:19:25.237Z
814,31.83,814, ,2019-06-18T03:19:36.248Z
828,31.87,828, ,2019-06-18T03:19:47.118Z
827,31.87,827, ,2019-06-18T03:19:58.124Z
829,31.96,829, ,2019-06-18T03:23:05.415Z
834,31.93,834, ,2019-06-18T03:23:50.048Z
837,31.96,837, ,2019-06-18T03:23:50.078Z
841,31.92,841, ,2019-06-18T03:23:50.080Z
842,31.89,842, ,2019-06-18T03:23:50.119Z
842,31.90,842, ,2019-06-18T03:24:00.457Z
846,31.92,846, ,2019-06-18T03:24:11.464Z
851,31.86,851, ,2019-06-18T03:24:22.341Z
857,31.86,857, ,2019-06-18T03:24:33.348Z
850,31.89,850, ,2019-06-18T03:24:44.380Z
860,31.87,860, ,2019-06-18T03:24:55.502Z
858,31.90,858, ,2019-06-18T03:25:06.378Z
864,31.93,864, ,2019-06-18T03:25:17.376Z
867,31.93,867, ,2019-06-18T03:25:28.393Z
876,31.93,876, ,2019-06-18T03:25:39.454Z
879,31.96,879, ,2019-06-18T03:25:50.412Z
886,31.97,886, ,2019-06-18T03:26:01.553Z
890,31.97,890, ,2019-06-18T03:26:12.559Z
894,31.99,894, ,2019-06-18T03:26:23.441Z
899,31.96,899, ,2019-06-18T03:26:34.460Z
899,31.97,899, ,2019-06-18T03:26:45.455Z
905,31.97,905, ,2019-06-18T03:26:56.459Z
909,32.00,909, ,2019-06-18T03:27:07.499Z
911,32.02,911, ,2019-06-18T03:27:18.493Z
915,32.03,915, ,2019-06-18T03:27:29.524Z
920,32.03,920, ,2019-06-18T03:27:40.513Z
919,32.03,919, ,2019-06-18T03:27:51.636Z
917,32.02,917, ,2019-06-18T03:28:02.690Z
919,32.00,919, ,2019-06-18T03:28:14.899Z
926,32.14,926, ,2019-06-18T03:40:09.073Z
936,32.10,936, ,2019-06-18T03:40:20.174Z
931,32.07,931, ,2019-06-18T03:40:31.083Z
930,32.07,930, ,2019-06-18T03:40:42.125Z
927,32.03,927, ,2019-06-18T03:40:53.111Z
924,32.03,924, ,2019-06-18T03:41:04.114Z
921,31.99,921, ,2019-06-18T03:41:15.127Z
916,32.00,916, ,2019-06-18T03:41:26.149Z
911,31.96,911, ,2019-06-18T04:10:49.348Z
933,31.92,65.1, ,2019-06-18T04:18:29.898Z
929,31.96,65.0, ,2019-06-18T04:18:40.967Z
938,31.96,65.0, ,2019-06-18T04:18:51.868Z
954,31.99,65.0, ,2019-06-18T04:19:02.871Z
961,31.96,64.9, ,2019-06-18T04:19:13.895Z
954,31.99,64.7, ,2019-06-18T04:19:24.865Z
946,31.97,64.9, ,2019-06-18T04:19:36.001Z
947,31.97,64.9, ,2019-06-18T04:19:46.871Z
950,32.03,64.8, ,2019-06-18T04:19:57.894Z
949,32.00,64.7, ,2019-06-18T04:20:08.899Z
952,32.00,64.7, ,2019-06-18T04:20:19.910Z
956,31.96,64.9, ,2019-06-18T04:20:30.922Z
954,31.90,64.9, ,2019-06-18T04:20:41.920Z
950,31.80,64.9, ,2019-06-18T04:20:52.922Z
944,31.80,65.0, ,2019-06-18T04:21:03.938Z
945,31.83,65.0, ,2019-06-18T04:21:14.943Z
421,31.86,65.0, ,2019-06-18T04:21:36.952Z
450,31.79,65.1, ,2019-06-18T04:21:47.974Z
487,31.76,65.0, ,2019-06-18T04:21:59.064Z
561,31.79,65.0, ,2019-06-18T04:22:10.025Z
702,31.80,65.0, ,2019-06-18T04:22:21.040Z
861,31.82,65.0, ,2019-06-18T04:22:31.994Z
870,31.85,64.9, ,2019-06-18T04:22:43.006Z
880,31.82,64.8, ,2019-06-18T04:22:54.017Z
888,31.83,64.9, ,2019-06-18T04:23:05.026Z
0,31.83,64.9, ,2019-06-18T04:23:27.036Z
0,31.83,65.0, ,2019-06-18T04:23:38.089Z
0,31.83,64.9, ,2019-06-18T04:23:49.045Z
289,31.86,64.9, ,2019-06-18T04:24:00.060Z
766,31.89,64.9, ,2019-06-18T04:24:11.073Z
905,31.93,64.8, ,2019-06-18T04:24:22.073Z
933,31.92,64.7, ,2019-06-18T04:24:33.082Z
907,31.93,64.7, ,2019-06-18T04:24:44.090Z
892,31.96,64.7, ,2019-06-18T04:24:55.108Z
901,31.95,64.6, ,2019-06-18T04:25:06.148Z
903,31.99,64.6, ,2019-06-18T04:25:17.119Z
918,31.97,64.7, ,2019-06-18T04:25:28.137Z
915,31.99,64.7, ,2019-06-18T04:25:39.136Z
922,31.99,64.7, ,2019-06-18T04:25:50.149Z
928,32.02,64.7, ,2019-06-18T04:26:01.311Z
920,32.03,64.6, ,2019-06-18T04:26:12.164Z
922,32.02,64.6, ,2019-06-18T04:26:23.185Z
